instruction,input,output
machine learning interview question,,Is it possible to use KNN for image processing?
machine learning interview question,,Differentiate between K-Means and KNN algorithms?
machine learning interview question,,"Explain the terms Artificial Intelligence (AI), Machine Learning (ML) and Deep Learning?"
machine learning interview question,,What are the different types of Learning/ Training models in ML?
machine learning interview question,,What is the difference between deep learning and machine learning?
machine learning interview question,,What is the main key difference between supervised and unsupervised machine learning?
machine learning interview question,,How do you select important variables while working on a data set?
machine learning interview question,,"There are many machine learning algorithms till now. If given a data set, how can one determine which algorithm to be used for that?"
machine learning interview question,,How are covariance and correlation different from one another?
machine learning interview question,,State the differences between causality and correlation?
machine learning interview question,,We look at machine learning software almost all the time. How do we apply Machine Learning to Hardware?
machine learning interview question,,Explain One-hot encoding and Label Encoding. How do they affect the dimensionality of the given dataset?
machine learning interview question,,When does regularization come into play in Machine Learning?
machine learning interview question,,"What is Bias, Variance and what do you mean by Bias-Variance Tradeoff?"
machine learning interview question,,How can we relate standard deviation and variance?
machine learning interview question,,A data set is given to you and it has missing values which spread along 1 standard deviation from the mean. How much of the data would remain untouched?
machine learning interview question,,Is a high variance in data good or bad?
machine learning interview question,,"If your dataset is suffering from high variance, how would you handle it?"
machine learning interview question,,"A data set is given to you about utilities fraud detection. You have built aclassifier model and achieved a performance score of 98.5%. Is this a goodmodel? If yes, justify. If not, what can you do about it?"
machine learning interview question,,Explain the handling of missing or corrupted values in the given dataset.
machine learning interview question,,What is Time series?
machine learning interview question,,What is a Box-Cox transformation?
machine learning interview question,,What is the difference between stochastic gradient descent (SGD) and gradient descent (GD)?
machine learning interview question,,What is the exploding gradient problem while using the back propagation technique?
machine learning interview question,,Can you mention some advantages and disadvantages of decision trees?
machine learning interview question,,Explain the differences between Random Forest and Gradient Boosting machines.
machine learning interview question,,What is a confusion matrix and why do you need it?
machine learning interview question,,What’s a Fourier transform?
machine learning interview question,,What do you mean by Associative Rule Mining (ARM)?
machine learning interview question,,What is Marginalisation? Explain the process.
machine learning interview question,,Explain the phrase “Curse of Dimensionality”.
machine learning interview question,,What is the Principle Component Analysis?
machine learning interview question,,Why is rotation of components so important in Principle Component Analysis (PCA)?
machine learning interview question,,What are outliers? Mention three methods to deal with outliers.
machine learning interview question,,What is the difference between regularization and normalisation?
machine learning interview question,,Explain the difference between Normalization and Standardization.
machine learning interview question,,List the most popular distribution curves along with scenarios where you will use them in an algorithm.
machine learning interview question,,How do we check the normality of a data set or a feature?
machine learning interview question,,What is Linear Regression?
machine learning interview question,,Differentiate between regression and classification.
machine learning interview question,,What is target imbalance? How do we fix it? A scenario where you have performed target imbalance on data. Which metrics and algorithms do you find suitable to input this data onto?
machine learning interview question,,List all assumptions for data to be met before starting with linear regression.
machine learning interview question,,When does the linear regression line stop rotating or finds an optimal spot where it is fitted on data?
machine learning interview question,,Why is logistic regression a type of classification technique and not a regression? Name the function it is derived from?
machine learning interview question,,What could be the issue when the beta value for a certain variable varies way too much in each subset when regression is run on different subsets of the given dataset?
machine learning interview question,,What does the term Variance Inflation Factor mean?
machine learning interview question,,"Which machine learning algorithm is known as the lazy learner, and why is it called so?"
machine learning interview question,,How does the SVM algorithm deal with self-learning?
machine learning interview question,,What are Kernels in SVM? List popular kernels used in SVM along with a scenario of their applications.
machine learning interview question,,What is Kernel Trick in an SVM Algorithm?
machine learning interview question,,What are ensemble models? Explain how ensemble techniques yield better learning as compared to traditional classification ML algorithms.
machine learning interview question,,What are overfitting and underfitting? Why does the decision tree algorithm suffer often with overfitting problems?
machine learning interview question,,What is OOB error and how does it occur?
machine learning interview question,,Why boosting is a more stable algorithm as compared to other ensemble algorithms?
machine learning interview question,,How do you handle outliers in the data?
machine learning interview question,,List popular cross validation techniques.
machine learning interview question,,"Is it possible to test for the probability of improving model accuracy without cross-validation techniques? If yes, please explain"
machine learning interview question,,Name a popular dimensionality reduction algorithm.
machine learning interview question,,How can we use a dataset without the target variable into supervised learning algorithms?
machine learning interview question,,List all types of popular recommendation systems? Name and explain two personalized recommendation systems along with their ease of implementation
machine learning interview question,,How do we deal with sparsity issues in recommendation systems? How do we measure its effectiveness? Explain.
machine learning interview question,,Name and define techniques used to find similarities in the recommendation system.
machine learning interview question,,State the limitations of Fixed Basis Function.
machine learning interview question,,Define and explain the concept of Inductive Bias with some examples.
machine learning interview question,,Explain the term instance-based learning.
machine learning interview question,,"Keeping train and test split criteria in mind, is it good to perform scaling before the split or after the split?"
machine learning interview question,,"Define precision, recall and F1 Score?"
machine learning interview question,,Plot validation score and training score with data set size on the x-axis and another plot with model complexity on the x-axis.
machine learning interview question,,What is Bayes’ Theorem? State at least 1 use case with respect to the machine learning context?
machine learning interview question,,What is Naive Bayes? Why is it Naive?
machine learning interview question,,Explain how a Naive Bayes Classifier works
machine learning interview question,,What do the terms prior probability and marginal likelihood in context of Naive Bayes theorem mean?
machine learning interview question,,Explain the difference between Lasso and Ridge?
machine learning interview question,,What’s the difference between probability and likelihood?
machine learning interview question,,Why would you Prune your tree?
machine learning interview question,,Model accuracy or Model performance? Which one will you prefer and why?
machine learning interview question,,List the advantages and limitations of the Temporal Difference Learning Method.
machine learning interview question,,How would you handle an imbalanced dataset?
machine learning interview question,,Mention some of the EDA Techniques?
machine learning interview question,,Mention why feature engineering is important in model building and list out some of the techniques used for feature engineering.
machine learning interview question,,Differentiate between Statistical Modeling and Machine Learning?
machine learning interview question,,Differentiate between Boosting and Bagging?
machine learning interview question,,What is the significance of Gamma and Regularization in SVM?
machine learning interview question,,Define ROC curve work
machine learning interview question,,What is the difference between a generative and discriminative model?
machine learning interview question,,What are hyperparameters and how are they different from parameters?
machine learning interview question,,What is shattering a set of points? Explain VC dimension.
machine learning interview question,,What are some differences between a linked list and an array?
machine learning interview question,,What is the meshgrid () method and the contourf () method? State some usesof both.
machine learning interview question,,Describe a hash table.
machine learning interview question,,List the advantages and disadvantages of using Neural Networks.
machine learning interview question,,You have to train a 12GB dataset using a neural network with a machine which has only 3GB RAM. How would you go about it?
machine learning interview question,,What is an Array?
machine learning interview question,,What are the advantages and disadvantages of using an Array?
machine learning interview question,,What is Lists in Python?
machine learning interview question,,Explain Eigenvectors and Eigenvalues.
machine learning interview question,,How would you define the number of clusters in a clustering algorithm?
machine learning interview question,,What are the performance metrics that can be used to estimate the efficiency of a linear regression model?
machine learning interview question,,What is the default method of splitting in decision trees?
machine learning interview question,,How is p-value useful?
machine learning interview question,,Can logistic regression be used for classes more than 2?
machine learning interview question,,What are the hyperparameters of a logistic regression model?
machine learning interview question,,Name a few hyper-parameters of decision trees?
machine learning interview question,,How to deal with multicollinearity?
machine learning interview question,,What is Heteroscedasticity?
machine learning interview question,,Is ARIMA model a good fit for every time series problem?
machine learning interview question,,How do you deal with the class imbalance in a classification problem?
machine learning interview question,,What is the role of cross-validation?
machine learning interview question,,What is a voting model?
machine learning interview question,,How to deal with very few data samples? Is it possible to make a model out of it?
machine learning interview question,,What are the hyperparameters of an SVM?
machine learning interview question,,What is Pandas Profiling?
machine learning interview question,,What impact does correlation have on PCA?
machine learning interview question,,How is PCA different from LDA?
machine learning interview question,,What distance metrics can be used in KNN?
machine learning interview question,,Which metrics can be used to measure correlation of categorical data?
machine learning interview question,,Which algorithm can be used in value imputation in both categorical and continuous categories of data?
machine learning interview question,,When should ridge regression be preferred over lasso?
machine learning interview question,,Which algorithms can be used for important variable selection?
machine learning interview question,,What ensemble technique is used by Random forests?
machine learning interview question,,What ensemble technique is used by gradient boosting trees?
machine learning interview question,,If we have a high bias error what does it mean? How to treat it?
machine learning interview question,,Which type of sampling is better for a classification model and why?
machine learning interview question,,What is a good metric for measuring the level of multicollinearity?
machine learning interview question,,When can be a categorical value treated as a continuous variable and what effect does it have when done so?
machine learning interview question,,What is the role of maximum likelihood in logistic regression.
machine learning interview question,,Which distance do we measure in the case of KNN?
machine learning interview question,,What is a pipeline?
machine learning interview question,,Which sampling technique is most suitable when working with time-series data?
machine learning interview question,,What are the benefits of pruning?
machine learning interview question,,What is normal distribution?
machine learning interview question,,What is the 68 per cent rule in normal distribution?
machine learning interview question,,What is a chi-square test?
machine learning interview question,,What is a random variable?
machine learning interview question,,What is the degree of freedom?
machine learning interview question,,Which kind of recommendation system is used by amazon to recommend similar items?
machine learning interview question,,What is a false positive?
machine learning interview question,,What is a false negative?
machine learning interview question,,What is the error term composed of in regression?
machine learning interview question,,Which performance metric is better R2 or adjusted R2?
machine learning interview question,,What’s the difference between Type I and Type II error?
machine learning interview question,,What do you understand by L1 and L2 regularization?
machine learning interview question,,"Which one is better, Naive Bayes Algorithm or Decision Trees?"
machine learning interview question,,What do you mean by the ROC curve?
machine learning interview question,,What do you mean by AUC curve?
machine learning interview question,,What is log likelihood in logistic regression?
machine learning interview question,,How would you evaluate a logistic regression model?
machine learning interview question,,What are the advantages of SVM algorithms?
machine learning interview question,,Why does XGBoost perform better than SVM?
machine learning interview question,,What is the difference between SVM Rank and SVR (Support Vector Regression)?
machine learning interview question,,What is the difference between the normal soft margin SVM and SVM with a linear kernel?
machine learning interview question,,How is linear classifier relevant to SVM?
machine learning interview question,,What are the advantages of using a naive Bayes for classification?
machine learning interview question,,Are Gaussian Naive Bayes the same as binomial Naive Bayes?
machine learning interview question,,What is the difference between the Naive Bayes Classifier and the Bayes classifier?
machine learning interview question,,In what real world applications is Naive Bayes classifier used?
machine learning interview question,,In what real world applications is Naive Bayes classifier used?
machine learning interview question,,What do you understand by selection bias in Machine Learning?
machine learning interview question,,What do you understand by Precision and Recall?
machine learning interview question,,What Are the Three Stages of Building a Model in Machine Learning?
machine learning interview question,,How Do You Design an Email Spam Filter in Machine Learning?
machine learning interview question,,What is the difference between Entropy and Information Gain?
machine learning interview question,,What are collinearity and multicollinearity?
machine learning interview question,,What is Kernel SVM?
machine learning interview question,,What is the process of carrying out a linear regression?
Web development interview question,,What skills should a good Web Developer have?
Web development interview question,,Are you aware of the roles and responsibilities of a Web Developer?
Web development interview question,,What are the added benefits of HTTP/2 compared to HTTP 1.1?
Web development interview question,,Can you list a few ways to speed up Page Loading?
Web development interview question,,How is XHTML different from HTML?
Web development interview question,,Explain Webpack.
Web development interview question,,"List out newly introduced input types, APIs, form elements, and elements that support media content in HTML5."
Web development interview question,,State the difference between span tag and div tag in HTML5.
